time,rdpi
2/25/2017 8:22:00 PM,11371.2
2/18/2017 8:22:00 PM,11371.2
2/11/2017 8:22:00 PM,11325.8
2/4/2017 8:22:00 PM,11325.8
1/28/2017 8:22:00 PM,11325.8
1/21/2017 8:22:00 PM,11325.8
1/14/2017 8:22:00 PM,11277.1
1/7/2017 8:22:00 PM,11277.1
12/31/2016 8:22:00 PM,11277.1
12/24/2016 8:22:00 PM,11277.1
12/17/2016 8:22:00 PM,11282.8
12/10/2016 8:22:00 PM,11282.8
12/3/2016 8:22:00 PM,11282.8
11/26/2016 8:22:00 PM,11282.8
11/19/2016 8:22:00 PM,11282.8
11/12/2016 8:22:00 PM,11312.4
11/5/2016 8:22:00 PM,11312.4
10/29/2016 8:22:00 PM,11312.4
10/22/2016 8:22:00 PM,11312.4
10/15/2016 8:22:00 PM,11329
10/8/2016 8:22:00 PM,11329
10/1/2016 8:22:00 PM,11329
9/24/2016 8:22:00 PM,11329
9/17/2016 8:22:00 PM,11297.4
9/10/2016 8:22:00 PM,11297.4
9/3/2016 8:22:00 PM,11297.4
8/27/2016 8:22:00 PM,11297.4
8/20/2016 8:22:00 PM,11297.4
8/13/2016 8:22:00 PM,11239
8/6/2016 8:22:00 PM,11239
7/30/2016 8:22:00 PM,11239
7/23/2016 8:22:00 PM,11239
7/16/2016 8:22:00 PM,11160.8
7/9/2016 8:22:00 PM,11160.8
7/2/2016 8:22:00 PM,11160.8
6/25/2016 8:22:00 PM,11160.8
6/18/2016 8:22:00 PM,11128.3
6/11/2016 8:22:00 PM,11128.3
6/4/2016 8:22:00 PM,11128.3
5/28/2016 8:22:00 PM,11128.3
5/21/2016 8:22:00 PM,11128.3
5/14/2016 8:22:00 PM,11101.2
5/7/2016 8:22:00 PM,11101.2
4/30/2016 8:22:00 PM,11101.2
4/23/2016 8:22:00 PM,11101.2
4/16/2016 8:22:00 PM,11114.7
4/9/2016 8:22:00 PM,11114.7
4/2/2016 8:22:00 PM,11114.7
3/26/2016 8:22:00 PM,11114.7
3/19/2016 8:22:00 PM,11080.5
3/12/2016 8:22:00 PM,11080.5
3/5/2016 8:22:00 PM,11080.5
2/27/2016 8:22:00 PM,11080.5
2/20/2016 8:22:00 PM,11080.5
2/13/2016 8:22:00 PM,11071.3
2/6/2016 8:22:00 PM,11071.3
1/30/2016 8:22:00 PM,11071.3
1/23/2016 8:22:00 PM,11071.3
1/16/2016 8:22:00 PM,11067
1/9/2016 8:22:00 PM,11067
1/2/2016 8:22:00 PM,11067
12/26/2015 8:22:00 PM,11067
12/19/2015 8:22:00 PM,11067
12/12/2015 8:22:00 PM,10993.2
12/5/2015 8:22:00 PM,10993.2
11/28/2015 8:22:00 PM,10993.2
11/21/2015 8:22:00 PM,10993.2
11/14/2015 8:22:00 PM,10912
11/7/2015 8:22:00 PM,10912
10/31/2015 8:22:00 PM,10912
10/24/2015 8:22:00 PM,10912
10/17/2015 8:22:00 PM,10887.5
10/10/2015 8:22:00 PM,10887.5
10/3/2015 8:22:00 PM,10887.5
9/26/2015 8:22:00 PM,10887.5
9/19/2015 8:22:00 PM,10906.7
9/12/2015 8:22:00 PM,10906.7
9/5/2015 8:22:00 PM,10906.7
8/29/2015 8:22:00 PM,10906.7
8/22/2015 8:22:00 PM,10906.7
8/15/2015 8:22:00 PM,10924.7
8/8/2015 8:22:00 PM,10924.7
8/1/2015 8:22:00 PM,10924.7
7/25/2015 8:22:00 PM,10924.7
7/18/2015 8:22:00 PM,10886.9
7/11/2015 8:22:00 PM,10886.9
7/4/2015 8:22:00 PM,10886.9
6/27/2015 8:22:00 PM,10886.9
